image,band_index,b,g,r,label
yellowpurpleblackbrownbrown.png,0,149.69230769230768,149.30769230769232,159.6153846153846,
yellowpurpleblackbrownbrown.png,1,132.16666666666666,83.16666666666667,56.666666666666664,
yellowpurpleblackbrownbrown.png,2,122.11111111111111,69.0,50.44444444444444,
yellowpurpleblackbrownbrown.png,3,117.1,55.1,5.0,
yellowpurpleblackbrownbrown.png,4,194.08333333333334,41.0,0.0,
yellowpurpleblackbrownbrown.png,5,138.55555555555554,153.22222222222223,11.11111111111111,
yellowpurpleblackbrownbrown.png,6,141.02380952380952,158.1904761904762,168.64285714285714,
brownblackblackredbrown.png,0,168.52173913043478,166.04347826086956,182.8695652173913,
brownblackblackredbrown.png,1,150.8,89.0,53.2,
brownblackblackredbrown.png,2,129.11111111111111,60.77777777777778,8.0,
brownblackblackredbrown.png,3,134.66666666666666,61.0,4.0,
brownblackblackredbrown.png,4,129.66666666666666,59.0,97.0,
brownblackblackredbrown.png,5,121.0,68.22222222222223,35.0,
brownblackblackredbrown.png,6,136.66666666666666,133.3,142.86666666666667,
greenbrownblackbrownbrown.png,0,166.0,97.0,25.0,
greenbrownblackbrownbrown.png,1,128.15384615384616,144.53846153846155,8.461538461538462,
greenbrownblackbrownbrown.png,2,140.25,82.0,38.75,
greenbrownblackbrownbrown.png,3,120.38461538461539,59.0,8.0,
greenbrownblackbrownbrown.png,4,125.6,74.6,33.9,
greenbrownblackbrownbrown.png,5,120.36363636363636,76.0,42.54545454545455,
greenbrownblackbrownbrown.png,6,143.78,161.54,174.82,
orangeorangeblackblackbrown.png,0,155.5,155.58333333333334,159.66666666666666,
orangeorangeblackblackbrown.png,1,124.7,114.2,137.3,
orangeorangeblackblackbrown.png,2,118.78571428571429,107.14285714285714,140.42857142857142,
orangeorangeblackblackbrown.png,3,127.6,63.0,8.0,
orangeorangeblackblackbrown.png,4,125.2,61.2,7.6,
orangeorangeblackblackbrown.png,5,134.375,82.75,54.125,
orangeorangeblackblackbrown.png,6,142.05405405405406,153.94594594594594,167.13513513513513,
brownblackblackgoldbrown.png,0,146.0,74.66666666666667,41.0,
brownblackblackgoldbrown.png,1,190.33333333333334,139.66666666666666,78.0,
brownblackblackgoldbrown.png,2,140.42857142857142,63.142857142857146,3.0,
brownblackblackgoldbrown.png,3,145.4,69.0,3.1,
brownblackblackgoldbrown.png,4,158.85714285714286,80.0,39.0,
brownblackblackgoldbrown.png,5,147.92307692307693,165.28846153846155,174.1153846153846,
